Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Estonia,Europe,613956,46198,205,15,205,2998,226,0,,0
Austria,Europe,6083011,68340,0,,0,22534,253,0,,0
Greece,Europe,5752314,53667,2178,20,2178,39872,372,24,,24
Syria,Eastern Mediterranean,57423,328,,,,3163,18,,,
Portugal,Europe,5670595,55076,118,1,118,29078,282,1,,1
Ukraine,Europe,5541114,12670,61,,61,109925,251,0,,0
Venezuela,Americas,552695,1944,,,,5856,21,,,
Saint Bartholemy,,5507,55711,,,,5,51,,,
Burundi,Africa,54569,459,,,,15,,,,
Chile,Americas,5409945,28300,528,3,528,62857,329,9,,9
Nauru,Western Pacific,5393,49778,,,,1,9,,,
Malaysia,Western Pacific,5325669,16455,,,,37351,115,,,
Guam,Western Pacific,52287,30980,,,,419,248,,,
Seychelles,Africa,51899,52771,,,,172,175,,,
Egypt,Eastern Mediterranean,516023,504,,,,24830,24,,,
Qatar,Eastern Mediterranean,514524,17859,,,,690,24,,,
Kiribati,Western Pacific,5085,4257,,,,24,20,,,
Libya,Eastern Mediterranean,507269,7382,,,,6437,94,,,
Ethiopia,Africa,501258,436,,,,7574,7,,,
International conveyance (Solomon Islands),Other,5,,,,,0,,,,
R�union,,494595,55243,,,,921,103,,,
Gabon,Africa,49056,2204,,,,307,14,,,
Belgium,Europe,4893750,42471,400,3,400,34339,298,0,,0
Israel,Europe,4841558,55936,0,,0,12707,147,0,,0
Czechia,Europe,4825331,45122,429,4,429,43772,409,0,,0
Canada,Americas,4819055,12768,,,,55282,146,,,
Thailand,South-East Asia,4808454,6889,,,,34741,50,,,
Andorra,Europe,48015,62143,,,,159,206,,,
Honduras,Americas,472911,4775,,,,11114,112,,,
Papua New Guinea,Western Pacific,46864,524,,,,670,7,,,
Curacao,Americas,45883,27962,,,,305,186,,,
Armenia,Europe,453089,15290,0,,0,8779,296,0,,0
Peru,Americas,4528708,13735,,,,220994,670,,,
India,South-East Asia,45044549,3264,,,,533661,39,,,
Switzerland,Europe,4475319,51710,532,6,532,14170,164,0,,0
Aruba,Americas,44224,41421,,,,292,273,,,
Tanzania,Africa,43365,73,,,,846,1,,,
Mayotte,,42027,15405,,,,187,69,,,
Philippines,Western Pacific,4140383,3778,,,,66864,61,,,
South Africa,Africa,4072857,6867,,,,102595,173,,,
Bosnia and Herz.,Europe,404120,12318,0,,0,16404,500,0,,0
International conveyance (American Samoa),Other,4,,,,,0,,,,
Pitcairn,,4,8000,,,,0,,,,
Oman,Eastern Mediterranean,399449,7822,,,,4628,91,,,
Luxembourg,Europe,396839,63382,55,9,55,1000,160,0,,0
Togo,Africa,39537,478,,,,290,4,,,
Bahamas,Americas,39127,9950,,,,849,216,,,
Anguilla,Americas,3904,26023,,,,12,80,,,
France,Europe,39010797,59980,438,1,438,168134,259,1,,1
Guinea,Africa,38582,294,,,,468,4,,,
Germany,Europe,38437756,46218,0,,0,174979,210,0,,0
Isle of Man,,38008,44698,,,,116,136,,,
Wallis and Futuna,Western Pacific,3760,33434,,,,9,80,,,
Brazil,Americas,37511921,17648,,,,702116,330,,,
Lesotho,Africa,36138,1687,,,,709,33,,,
Romania,Europe,3567674,18458,128,1,128,68949,357,0,,0
Guernsey,,35326,54796,,,,67,104,,,
North Macedonia,Europe,352060,16899,0,,0,9990,480,0,,0
Brunei Darussalam,Western Pacific,350292,80071,167,38,167,182,42,0,,0
Zambia,Africa,349892,1903,,,,4078,22,,,
Haiti,Americas,34764,305,0,,0,860,8,0,,0
Faroe Islands,,34658,70926,,,,28,57,,,
South Korea,Western Pacific,34571873,67432,,,,35934,70,,,
Denmark,Europe,3445401,59171,219,4,219,10012,172,0,,0
Kenya,Africa,344113,640,,,,5689,11,,,
Saint Pierre and Miquelon,,3426,59120,,,,2,35,,,
Japan,Western Pacific,33803572,26727,,,,74694,59,,,
Albania,Europe,337196,11717,0,,0,3608,125,0,,0
Mali,Africa,33180,164,,,,743,4,,,
Botswana,Africa,330696,14062,,,,2801,119,,,
Mauritius,Africa,329686,25923,,,,1074,84,,,
Micronesia,Western Pacific,31765,27616,,,,62,54,,,
Cayman Islands,Americas,31472,47888,,,,37,56,,,
Saint Lucia,Americas,30231,16463,,,,410,223,,,
Singapore,Western Pacific,3006155,51384,,,,2024,35,,,
Tuvalu,Western Pacific,2943,24958,,,,1,8,,,
International commercial vessel,Other,29,,,,,0,,,,
Benin,Africa,28036,231,,,,163,1,,,
Sweden,Europe,2771104,26832,667,6,667,28365,275,38,,38
Kosovo,Europe,274279,15274,,,,3212,179,,,
Somalia,Eastern Mediterranean,27334,172,,,,1361,9,,,
Algeria,Africa,272189,621,,,,6881,16,,,
Italy,Europe,26826486,44980,0,,0,197542,331,0,,0
Nigeria,Africa,267190,130,,,,3155,2,,,
Zimbabwe,Africa,266399,1792,,,,5740,39,,,
New Zealand,Western Pacific,2663381,55231,,,,4497,93,,,
Holy See,,26,3214,,,,0,,,,
Solomon Islands,Western Pacific,25954,3779,,,,199,29,,,
Serbia,Europe,2583470,37297,,,,18057,261,,,
United States Virgin Islands,Americas,25389,24313,,,,132,126,,,
San Marino,Europe,25292,74524,,,,126,371,,,
Congo,Africa,25234,457,,,,389,7,,,
Montenegro,Europe,251280,40009,0,,0,2654,423,0,,0
United Kingdom,Europe,25023567,36861,937,1,937,232112,342,0,,0
Russia,Europe,24799330,16993,0,,0,403979,277,0,,0
Iraq,Eastern Mediterranean,2465545,6130,,,,25375,63,,,
Afghanistan,Eastern Mediterranean,235214,604,,,,7998,21,,,
Timor-Leste,South-East Asia,23460,1779,,,,138,10,,,
Mozambique,Africa,233876,748,,,,2252,7,,,
Martinique,,230354,61384,,,,1104,294,,,
Hungary,Europe,2237414,22902,0,,0,49117,503,0,,0
Burkina Faso,Africa,22165,106,,,,400,2,,,
Laos,Western Pacific,219060,3011,,,,671,9,,,
Saint Helena,,2166,35678,,,,0,,,,
Liechtenstein,,21613,55780,1,3,1,89,230,0,,0
Iceland,Europe,210743,57875,8,2,8,186,51,0,,0
Gibraltar,,20550,60996,,,,113,335,,,
Bangladesh,South-East Asia,2051534,1246,,,,29499,18,,,
Guadeloupe,,203235,50793,,,,1021,255,,,
El Salvador,Americas,201967,3114,,,,4230,65,,,
International conveyance (Kiribati),Other,2,,,,,0,,,,
Grenada,Americas,19693,17501,,,,238,212,,,
Falkland Islands,,1923,55211,,,,0,,,,
Trinidad and Tobago,Americas,191496,13683,,,,4390,314,,,
Bermuda,Americas,18860,30286,,,,165,265,,,
Slovakia,Europe,1885566,34548,34,1,34,21266,390,0,,0
S. Sudan,Africa,18855,168,,,,147,1,,,
Maldives,South-East Asia,186694,34538,,,,316,58,,,
Georgia,Europe,1864383,46736,0,,0,17151,430,0,,0
Tajikistan,Europe,17786,186,0,,0,125,1,0,,0
Ireland,Europe,1752048,35292,119,2,119,9914,200,0,,0
Uzbekistan,Europe,175082,523,0,,0,1016,3,0,,0
Jordan,Eastern Mediterranean,1746997,17122,,,,14122,138,,,
Namibia,Africa,172556,6791,,,,4110,162,,,
Ghana,Africa,172331,555,,,,1463,5,,,
Uganda,Africa,172161,376,,,,3632,8,,,
Monaco,Europe,17181,43780,,,,67,171,,,
Equatorial Guinea,Africa,17130,1221,,,,183,13,,,
Samoa,Western Pacific,17057,8597,,,,31,16,,,
Turkey,Europe,17004712,20162,0,,0,101419,120,0,,0
Tonga,Western Pacific,16992,16076,,,,13,12,,,
Marshall Islands,Western Pacific,16297,27532,,,,17,29,,,
Nicaragua,Americas,16197,244,,,,245,4,,,
Dominica,Americas,16047,22290,0,,0,74,103,0,,0
Pakistan,Eastern Mediterranean,1580631,716,,,,30656,14,,,
Jamaica,Americas,157349,5314,1,,1,3621,122,0,,0
Djibouti,Eastern Mediterranean,15690,1588,,,,189,19,,,
Central African Rep.,Africa,15443,320,,,,113,2,,,
Norway,Europe,1531861,28539,397,7,397,5732,107,0,,0
Kazakhstan,Europe,1504370,8012,0,,0,19072,102,0,,0
Finland,Europe,1499712,27143,0,,0,11466,208,0,,0
Northern Mariana Islands,Western Pacific,14985,26035,,,,41,71,,,
Lithuania,Europe,1419418,50801,316,11,316,9868,353,2,,2
Montserrat,Americas,1403,28066,,,,8,160,,,
Spain,Europe,13980340,29536,0,,0,121852,257,0,,0
Cambodia,Western Pacific,139326,833,,,,3056,18,,,
Slovenia,Europe,1361219,64948,107,5,107,9914,473,0,,0
Croatia,Europe,1352684,33332,0,,0,18781,463,0,,0
Bulgaria,Europe,1339011,19262,40,1,40,38771,558,0,,0
Rwanda,Africa,133266,1029,,,,1468,11,,,
Morocco,Eastern Mediterranean,1279115,3465,,,,16305,44,,,
Gambia,Africa,12627,522,,,,372,15,,,
Cameroon,Africa,125279,472,,,,1974,7,,,
Puerto Rico,Americas,1252713,43788,,,,5938,208,,,
Guatemala,Americas,1250394,6979,0,,0,20203,113,0,,0
Lebanon,Eastern Mediterranean,1239904,18166,,,,10947,160,,,
Malta,Europe,123586,24018,3,1,3,1009,196,0,,0
Costa Rica,Americas,1235825,24260,,,,9374,184,,,
Saint Martin (French part),,12324,31879,,,,46,119,,,
Bolivia,Americas,1212156,10384,,,,22387,192,,,
Vanuatu,Western Pacific,12019,3913,,,,14,5,,,
International conveyance (Vanuatu),Other,12,,,,,0,,,,
Greenland,Europe,11971,21086,,,,21,37,,,
Yemen,Eastern Mediterranean,11945,40,,,,2159,7,,,
"Bonaire, Saint Eustatius and Saba",Americas,11922,,,,,41,,,,
Australia,Western Pacific,11861161,46515,,,,25236,99,,,
Vietnam,Western Pacific,11624000,11942,,,,43206,44,,,
Tunisia,Eastern Mediterranean,1153361,9759,,,,29423,249,,,
Cuba,Americas,1113662,9832,,,,8530,75,,,
Sint Maarten (Dutch part),Americas,11051,25771,,,,92,215,,,
Niue,Western Pacific,1092,67491,,,,0,,,,
Barbados,Americas,108837,37873,1,,1,593,206,0,,0
Ecuador,Americas,1078897,6115,,,,36055,204,,,
Angola,Africa,107487,327,,,,1937,6,,,
United Arab Emirates,Eastern Mediterranean,1067030,10789,,,,2349,24,,,
Panama,Americas,1045054,24220,,,,8764,203,,,
Uruguay,Americas,1042511,30011,54,2,54,7693,221,0,,0
United States of America,Americas,103436829,31250,,,,1210707,366,165,,165
Eritrea,Africa,10189,287,,,,103,3,,,
Mongolia,Western Pacific,1011489,30854,,,,2136,65,,,
Argentina,Americas,10110587,22371,56,,56,130734,289,2,,2
Dem. Rep. Congo,Africa,100990,113,,,,1474,2,,,
Nepal,South-East Asia,1003450,3444,,,,12031,41,,,
Democratic People's Republic of Korea,South-East Asia,0,,,,,0,,,,
Turkmenistan,Europe,0,,0,,0,0,,0,,0
